Country,Country_CN,r_A,r_B,r_E,K_A,K_B,K_E
USA,美国,0.08,0.08,0.18092156178497407,2.0711377869128844,1.2157990104765342,1.320000000000001
CHN,中国,0.01800001256285936,0.03083435111664,0.14324799682413691,3.8646329267476194,1.7288972709767303,3.5496244085850366
GBR,英国,0.010000008597095225,0.010000000000000023,0.29744492921749793,0.5035198889977762,1.149748082667929,1.0118064152598198
DEU,德国,0.14652014977499972,0.010000000000371443,0.35953542908495423,0.6923815863598773,0.9715718607939464,0.5717839321888022
KOR,韩国,0.1799557045555928,0.010000003924282996,0.4999995946465703,0.6911599250584933,1.3200001140412327,0.7421419524856631
JPN,日本,0.09438881986339008,0.010000001250141893,0.49999999360700975,0.792435030485477,0.9345566731031045,0.519712823383003
FRA,法国,0.10470299214387717,0.010000000000009753,0.2264369637078987,0.4635905759486466,0.9144574350827526,0.935223990198566
CAN,加拿大,0.3250022589557044,0.010000000000267522,0.2671610537418551,0.26355198372919153,0.9432072384018305,0.6066612863989589
ARE,阿联酋,0.13,0.013000003881355597,0.13,0.7032640335085598,1.8087867921885294,2.4153440864382096
IND,印度,0.0752399923043223,0.15000000000000002,0.5,1.3227531299765434,1.3311636554088657,1.2206352448902207
