Year,Country,Country_CN,TOPSIS_Score,Rank
2026,USA,美国,0.6051330053807062,1
2026,CHN,中国,0.35728484665598026,7
2026,GBR,英国,0.2028588441028406,9
2026,DEU,德国,0.46578427438576847,2
2026,KOR,韩国,0.425121884451138,3
2026,JPN,日本,0.42423853557131913,4
2026,FRA,法国,0.3919131614595709,5
2026,CAN,加拿大,0.36134618979987615,6
2026,ARE,阿联酋,0.22408033860262186,8
2026,IND,印度,0.11604629237074207,10
2027,USA,美国,0.6281418659680092,1
2027,CHN,中国,0.373606265732414,6
2027,GBR,英国,0.22084263793495681,9
2027,DEU,德国,0.4725260894215853,2
2027,KOR,韩国,0.44037048394930134,3
2027,JPN,日本,0.43398501402303263,4
2027,FRA,法国,0.40067588811300303,5
2027,CAN,加拿大,0.37339241771338105,7
2027,ARE,阿联酋,0.23035570903617555,8
2027,IND,印度,0.15009754749117832,10
2028,USA,美国,0.650213815831747,1
2028,CHN,中国,0.39136731946830555,6
2028,GBR,英国,0.23799934986044688,8
2028,DEU,德国,0.4784228230915214,2
2028,KOR,韩国,0.45426888607150984,3
2028,JPN,日本,0.4426496336400033,4
2028,FRA,法国,0.40929007621553826,5
2028,CAN,加拿大,0.3856426504633283,7
2028,ARE,阿联酋,0.23746993369688346,9
2028,IND,印度,0.1881858403021329,10
2029,USA,美国,0.6711574229267183,1
2029,CHN,中国,0.41046883157536646,6
2029,GBR,英国,0.25346538252416967,8
2029,DEU,德国,0.4835584800218831,2
2029,KOR,韩国,0.46661146037280576,3
2029,JPN,日本,0.4499473279930707,4
2029,FRA,法国,0.41763484011761587,5
2029,CAN,加拿大,0.39732222421339264,7
2029,ARE,阿联酋,0.24555180752785485,9
2029,IND,印度,0.22357875599023724,10
2030,USA,美国,0.6907934514393609,1
2030,CHN,中国,0.43071779182523284,5
2030,GBR,英国,0.2668957082363474,8
2030,DEU,德国,0.48808107696214603,2
2030,KOR,韩国,0.47760377832000667,3
2030,JPN,日本,0.45602211708465457,4
2030,FRA,法国,0.42563574222884343,6
2030,CAN,加拿大,0.40787844590677524,7
2030,ARE,阿联酋,0.254742305157442,9
2030,IND,印度,0.2520110993972399,10
2031,USA,美国,0.7068816384099529,1
2031,CHN,中国,0.4512947913681712,5
2031,GBR,英国,0.27823896250903934,8
2031,DEU,德国,0.48636746237624795,2
2031,KOR,韩国,0.4843250093647216,3
2031,JPN,日本,0.4578448330377024,4
2031,FRA,法国,0.4308711399573841,6
2031,CAN,加拿大,0.4124938256844299,7
2031,ARE,阿联酋,0.26498780286630624,10
2031,IND,印度,0.27282711884813676,9
2032,USA,美国,0.7226394060752883,1
2032,CHN,中国,0.47227980898414196,4
2032,GBR,英国,0.28795925481767415,8
2032,DEU,德国,0.48867739382664277,3
2032,KOR,韩国,0.4921805787087382,2
2032,JPN,日本,0.461266213086424,5
2032,FRA,法国,0.4371450770721407,6
2032,CAN,加拿大,0.4198881036902237,7
2032,ARE,阿联酋,0.27647690280527576,10
2032,IND,印度,0.2878944835928209,9
2033,USA,美国,0.7378967434414131,1
2033,CHN,中国,0.49349917361513645,4
2033,GBR,英国,0.2964971340850907,9
2033,DEU,德国,0.49430389087427734,3
2033,KOR,韩国,0.5016973869144703,2
2033,JPN,日本,0.4663897301595014,5
2033,FRA,法国,0.4445850514916619,6
2033,CAN,加拿大,0.4290987096636825,7
2033,ARE,阿联酋,0.28964243527687544,10
2033,IND,印度,0.29933346856040943,8
2034,USA,美国,0.7519835559694493,1
2034,CHN,中国,0.5143694802153908,2
2034,GBR,英国,0.30424429075185483,10
2034,DEU,德国,0.5026936157810272,4
2034,KOR,韩国,0.5130217143061875,3
2034,JPN,日本,0.47309787921423563,5
2034,FRA,法国,0.4530810343685764,6
2034,CAN,加拿大,0.43981816062340395,7
2034,ARE,阿联酋,0.304648445970229,9
2034,IND,印度,0.3088226552565237,8
2035,USA,美国,0.7641152407500789,1
2035,CHN,中国,0.5343036075591601,2
2035,GBR,英国,0.31154560534656023,10
2035,DEU,德国,0.5135715636594375,4
2035,KOR,韩国,0.5263131191863926,3
2035,JPN,日本,0.4813261435643047,5
2035,FRA,法国,0.46261745954631195,6
2035,CAN,加拿大,0.4521271984867316,7
2035,ARE,阿联酋,0.32161916126990026,8
2035,IND,印度,0.3175076691097655,9
