Country,Country_Name,Mean_Rank,Std_Rank,Min_Rank,Max_Rank,Median_Rank,Mode_Rank,Rank_Range,Noise_Level
ARE,UAE,10.0,0.0,10.0,10.0,10.0,10.0,0.0,0%
CAN,Canada,8.0,0.0,8.0,8.0,8.0,8.0,0.0,0%
CHN,China,2.0,0.0,2.0,2.0,2.0,2.0,0.0,0%
DEU,Germany,3.0,0.0,3.0,3.0,3.0,3.0,0.0,0%
FRA,France,7.0,0.0,7.0,7.0,7.0,7.0,0.0,0%
GBR,United Kingdom,6.0,0.0,6.0,6.0,6.0,6.0,0.0,0%
IND,India,9.0,0.0,9.0,9.0,9.0,9.0,0.0,0%
JPN,Japan,5.0,0.0,5.0,5.0,5.0,5.0,0.0,0%
KOR,South Korea,4.0,0.0,4.0,4.0,4.0,4.0,0.0,0%
USA,United States,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0%
ARE,UAE,10.0,0.0,10.0,10.0,10.0,10.0,0.0,5%
CAN,Canada,8.024,0.1530490117576719,8.0,9.0,8.0,8.0,1.0,5%
CHN,China,2.0,0.0,2.0,2.0,2.0,2.0,0.0,5%
DEU,Germany,3.252,0.4341612603630131,3.0,4.0,3.0,3.0,1.0,5%
FRA,France,6.926,0.2617708921939183,6.0,7.0,7.0,7.0,1.0,5%
GBR,United Kingdom,6.074,0.2617708921939183,6.0,7.0,6.0,6.0,1.0,5%
IND,India,8.976,0.1530490117576719,8.0,9.0,9.0,9.0,1.0,5%
JPN,Japan,5.0,0.0,5.0,5.0,5.0,5.0,0.0,5%
KOR,South Korea,3.748,0.4341612603630131,3.0,4.0,4.0,4.0,1.0,5%
USA,United States,1.0,0.0,1.0,1.0,1.0,1.0,0.0,5%
ARE,UAE,10.0,0.0,10.0,10.0,10.0,10.0,0.0,10%
CAN,Canada,8.156,0.3842707378919191,7.0,9.0,8.0,8.0,2.0,10%
CHN,China,2.0,0.0,2.0,2.0,2.0,2.0,0.0,10%
DEU,Germany,3.398,0.5249723802258552,3.0,5.0,3.0,3.0,2.0,10%
FRA,France,6.802,0.41808611553123837,6.0,8.0,7.0,7.0,2.0,10%
GBR,United Kingdom,6.142,0.4917682380959552,5.0,7.0,6.0,6.0,2.0,10%
IND,India,8.836,0.3702755730533679,8.0,9.0,9.0,9.0,1.0,10%
JPN,Japan,5.012,0.3739732610762433,3.0,7.0,5.0,5.0,4.0,10%
KOR,South Korea,3.654,0.5275263026617725,3.0,5.0,4.0,4.0,2.0,10%
USA,United States,1.0,0.0,1.0,1.0,1.0,1.0,0.0,10%
ARE,UAE,9.996,0.063118935352238,9.0,10.0,10.0,10.0,1.0,15%
CAN,Canada,8.212,0.5050306921366265,7.0,9.0,8.0,8.0,2.0,15%
CHN,China,2.0,0.0,2.0,2.0,2.0,2.0,0.0,15%
DEU,Germany,3.448,0.6158701161771044,3.0,6.0,3.0,3.0,3.0,15%
FRA,France,6.744,0.6184367388828059,5.0,9.0,7.0,7.0,4.0,15%
GBR,United Kingdom,6.132,0.6561829013316334,4.0,8.0,6.0,6.0,4.0,15%
IND,India,8.72,0.49558046773455466,7.0,10.0,9.0,9.0,3.0,15%
JPN,Japan,5.04,0.6499230723708769,3.0,8.0,5.0,5.0,5.0,15%
KOR,South Korea,3.708,0.602275684383821,3.0,6.0,4.0,4.0,3.0,15%
USA,United States,1.0,0.0,1.0,1.0,1.0,1.0,0.0,15%
