Indicator,Indicator_Name,Category,Base_Weight,Score_Low,Score_Base,Score_High,Impact_Low,Impact_High,Total_Range
A3_Connectivity_norm,A3 Connectivity,A,0.0111666349040693,0.8816282623472008,0.8815848942309442,0.8815319470692055,4.336811625660353e-05,-5.294716173875891e-05,9.631527799536244e-05
D3_OpenSource_Impact_log,D3 OpenSource Impact,D,0.0602933607900494,0.8814456065438071,0.8815848942309442,0.8817544402410649,-0.00013928768713711293,0.00016954601012064696,0.0003088336972577599
E2_Capital_Flow_log,E2 Capital Flow,E,0.0810276068803023,0.8813875310234549,0.8815848942309442,0.881824723959373,-0.00019736320748930947,0.00023982972842873096,0.0004371929359180404
F2_IP_Protection_log,F2 IP Protection,F,0.0472892239129402,0.881846890667053,0.8815848942309442,0.8812682085714832,0.0002619964361088023,-0.00031668565946096905,0.0005786820955697713
A2_Energy_IDC_log,A2 Energy/IDC,A,0.0442372148170582,0.881208267720354,0.8815848942309442,0.8820401733121661,-0.0003766265105902278,0.0004552790812218932,0.000831905591812121
B3_STEM_Supply_norm,B3 STEM Supply,B,0.0397791920034449,0.880836736750047,0.8815848942309442,0.8824796272860176,-0.0007481574808971825,0.0008947330550733712,0.0016428905359705537
D1_GitHub_Activity_log,D1 GitHub Activity,D,0.0946403183769473,0.8824360457084198,0.8815848942309442,0.8805632384409099,0.000851151477475609,-0.001021655790034326,0.001872807267509935
C1_Research_Qty_log,C1 Research Quantity,C,0.0958574978289655,0.8825734390170921,0.8815848942309442,0.8804052760392029,0.0009885447861478491,-0.001179618191741283,0.002168162977889132
C2_High_Impact_Res_log,C2 High Impact Research,C,0.0800825156810974,0.8825852034818167,0.8815848942309442,0.8803989647811428,0.0010003092508724665,-0.0011859294498014483,0.002186238700673915
E1_Vertical_VC_log,E1 Vertical VC,E,0.089207797593332,0.8804142914357731,0.8815848942309442,0.8829680330185976,-0.0011706027951711162,0.001383138787653393,0.002553741582824509
B1_Talent_Stock_log,B1 Talent Stock,B,0.0744025167396719,0.8835057668521936,0.8815848942309442,0.8793456895118542,0.0019208726212494032,-0.0022392047190900044,0.004160077340339408
A1_Hardware_Compute_log,A1 Hardware Compute,A,0.0981322595573696,0.8776297929069494,0.8815848942309442,0.8859157291006358,-0.003955101323994792,0.004330834869691547,0.008285936193686338
E3_Ind_Adoption_norm,E3 Industry Adoption,E,0.1191276149961136,0.8699977377011633,0.8815848942309442,0.892152340554023,-0.011587156529780929,0.010567446323078822,0.02215460285285975
F1_Gov_RD_Exp_norm,F1 Gov R&D,F,0.0647562459186378,0.8940612121643601,0.8815848942309442,0.8689110947881075,0.01247631793341586,-0.012673799442836753,0.025150117376252612
