Year,Infrastructure,Talent,Research,OpenSource,Industry,Governance
2026,124.74121636665609,178.79175440939343,256.5079966506133,211.6115532064115,169.0627149723897,59.28476747426749
2027,124.74121571940543,178.79175375984371,256.5079960016255,211.61155255742372,169.06271432485505,59.2847668253037
2028,124.74121572207788,178.79175375929273,256.5079960016255,211.61155255742372,169.06271432633784,59.28476682532789
2029,124.74121572618934,178.79175375875258,256.5079960016255,211.61155255742372,169.06271432785087,59.28476682535233
2030,124.74121573251466,178.791753758223,256.5079960016255,211.61155255742372,169.06271432939477,59.28476682537702
2031,124.74121574224593,178.79175375770382,256.5079960016255,211.61155255742372,169.0627143309702,59.28476682540195
2032,124.7412157572171,178.79175373174428,256.5079960016255,211.61155255742372,169.06271433257777,59.28476682542714
2033,124.74121578024968,178.79175373174428,256.5079960016255,211.61155255742372,169.06271433421816,59.284766825452586
2034,124.74121581568441,178.79175373174428,256.5079960016255,211.61155255742372,169.062714335892,59.284766825478286
2035,124.74121651918713,178.79175438073204,256.5079966506133,211.6115532064115,169.06271498658776,59.284767474492
