Budget,Score,Is_Pareto_Optimal
5000.000000000001,0.9304866044623541,True
6071.428571428572,1.0074563103967549,True
7142.857142857143,1.0840703126790858,True
8214.285714285714,1.1575775526832583,True
9285.714285714288,1.1839698765235578,True
10357.142857142857,1.2019960537441576,True
11428.571428571426,1.2196892488643372,True
12499.999999999998,1.2370643998447917,True
13571.428571428569,1.2723163640385626,True
14642.857142857143,1.2905870255662506,True
15714.285714285708,1.3085849631912576,True
16785.714285714286,1.3263215932623977,True
17857.142857142855,1.3438077037069525,True
18928.571428571428,1.3610534966810215,True
19999.999999999996,1.3780686277974818,True
